Method,Name,Error,Occurrences
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 39.81s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 52.98s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 32.97s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 47.28s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 22.05s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 65.30s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 57.99s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 57.94s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 41.90s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 39.95s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 48.71s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 40.04s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 41.85s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 48.62s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 59.64s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 19.74s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 47.75s (Límite: 15.0s)'),1
POST,Petición_Prueba_Estrés,CatchResponseError('SLA ROTO: tardó 66.17s (Límite: 15.0s)'),1
